Unnamed: 0,datetime,open,high,low,close,volume,rsi,sma_50,macd,macd_signal,signals
49,2019-10-27,9234.75,9803.83,9066.07,9533.32,163544.019,66.42893317530844,8867.1508,-5.248465045271587,-199.61314573606745,0
50,2019-10-28,9534.37,9930.13,9156.03,9217.36,155599.975,60.69042179628437,8843.6654,57.607338257897936,-148.16904893727437,1
51,2019-10-29,9215.78,9569.1,9070.0,9415.02,124703.014,65.35439621611967,8825.825799999999,121.96459340131696,-94.14232046955611,0
52,2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.858,64.07011248029974,8807.0914,151.07635064016358,-45.098586247612175,0
53,2019-10-31,9163.4,9438.64,8933.0,9150.0,98836.044,63.15789473684211,8786.900399999999,170.94252681714897,-1.8903636346599446,0
54,2019-11-01,9149.88,9280.0,9050.27,9231.01,87256.949,65.8397308253688,8763.217999999999,191.0214679607452,36.692002684421084,0
55,2019-11-02,9231.7,9375.0,9194.98,9287.8,56602.055,66.28453572183395,8742.1472,209.10620568908053,71.17484328535298,0
56,2019-11-03,9288.96,9366.69,9073.0,9197.88,75612.722,62.447239156233096,8719.4598,213.71907763362833,99.68369015500805,0
57,2019-11-04,9197.86,9550.0,9126.01,9395.46,90433.357,64.49991497218375,8701.3246,230.6589735715661,125.87874683831967,0
58,2019-11-05,9395.47,9457.13,9164.33,9313.2,113738.226,66.08266898307744,8682.603200000001,234.74032824007554,147.65106311867086,0
59,2019-11-06,9313.1,9450.0,9259.48,9343.6,73767.911,76.89693089209732,8665.7448,237.68793855597323,165.65843820613134,0
60,2019-11-07,9344.29,9381.93,9091.2,9219.64,77389.569,75.37929505155046,8647.034399999999,227.40007839257487,178.00676624342006,0
61,2019-11-08,9221.63,9259.3,8669.85,8775.03,151851.16,52.258090150226316,8617.629,181.28087081848753,178.66158715843358,0
62,2019-11-09,8775.6,8878.0,8727.0,8811.15,66846.392,40.52664023866197,8590.525,145.96307718273965,172.1218851632948,0
63,2019-11-10,8811.3,9187.0,8760.0,9041.31,91099.197,38.565618536335926,8571.6846,134.9893861327073,164.69538535717732,0
64,2019-11-11,9041.31,9072.91,8611.11,8728.93,113373.762,38.62989845754163,8545.8024,99.93422207774893,151.74315270129165,0
65,2019-11-12,8729.89,8889.06,8552.12,8817.0,107520.546,35.330278470082575,8528.1032,78.35602548679526,137.06572725839237,0
66,2019-11-13,8817.94,8838.0,8712.0,8774.76,58585.811,39.33417085427135,8530.6862,57.187512197737306,121.09008424626137,0
67,2019-11-14,8774.78,8798.06,8581.39,8642.25,87099.995,36.96746936617365,8534.9298,29.380186832262552,102.74810476346161,0
68,2019-11-15,8642.47,8780.0,8380.0,8473.27,145602.497,31.39127103409656,8543.1922,-6.220882178662578,80.95430737503678,-1
69,2019-11-16,8473.3,8540.54,8435.0,8491.06,48657.04,30.051377580145967,8549.483,-32.623419071225726,58.23876208578428,0
70,2019-11-17,8491.18,8631.0,8355.78,8504.04,72152.266,31.93162642444949,8555.6562,-51.9019488979211,36.21061988904321,0
71,2019-11-18,8504.13,8504.71,8050.0,8183.26,123477.142,20.336328576182893,8558.4822,-92.00402270632549,10.567691369969468,0
72,2019-11-19,8183.3,8212.87,8000.0,8131.7,110854.03,20.646546155604312,8555.3994,-126.48759594417606,-16.84336609285964,0
73,2019-11-20,8131.12,8230.0,8037.5,8094.05,87352.38,19.067328781705,8551.4804,-155.0666052223296,-44.48801391875364,0
74,2019-11-21,8094.57,8131.51,7432.0,7621.9,180289.189,16.26365087542966,8536.875600000001,-213.35481357162644,-78.26137384932821,0
75,2019-11-22,7621.89,7765.03,6762.73,7262.72,371213.951,16.87235767014957,8517.7246,-285.24335500117195,-119.65777007969696,0
